id,order_id,product_id,created_date,modified_date,unit_price,unit_price_discount,quantity
1,43659,776,2019-08-17,2019-08-19,2024.994,0.0,2
2,43659,777,2019-08-22,2019-08-24,2024.994,0.0,4
3,43659,778,2019-08-17,2019-08-17,2024.994,0.0,3
4,43659,771,2019-08-17,2019-08-17,2039.994,0.0,7
5,43659,772,2019-08-20,2019-08-23,2039.994,0.0,1
6,43659,773,2019-08-21,2019-08-26,2039.994,0.0,8
7,43659,774,2019-08-17,2019-08-21,2039.994,0.0,1
8,43659,714,2019-08-18,2019-08-21,28.8404,0.0,8
9,43659,716,2019-08-22,2019-08-23,28.8404,0.0,5
10,43659,709,2019-08-20,2019-08-22,5.7,0.0,9
11,43659,712,2019-08-19,2019-08-23,5.1865,0.0,9
12,43659,711,2019-08-19,2019-08-21,20.1865,0.0,3
13,43660,762,2019-08-17,2019-08-22,419.4589,0.0,2
14,43660,758,2019-08-18,2019-08-21,874.794,0.0,4
15,43661,745,2019-08-18,2019-08-21,809.76,0.0,7
16,43661,743,2019-08-18,2019-08-22,714.7043,0.0,4
17,43661,747,2019-08-17,2019-08-22,714.7043,0.0,2
18,43661,712,2019-08-18,2019-08-23,5.1865,0.0,7
19,43661,715,2019-08-21,2019-08-23,28.8404,0.0,5
20,43661,742,2019-08-19,2019-08-22,722.5949,0.0,8
21,43661,775,2019-08-21,2019-08-22,2024.994,0.0,3
22,43661,778,2019-08-17,2019-08-18,2024.994,0.0,8
23,43661,711,2019-08-19,2019-08-24,20.1865,0.0,9
24,43661,741,2019-08-17,2019-08-22,818.7,0.0,3
25,43661,776,2019-08-19,2019-08-23,2024.994,0.0,4
26,43661,773,2019-08-17,2019-08-21,2039.994,0.0,5
27,43661,716,2019-08-18,2019-08-23,28.8404,0.0,8
28,43661,777,2019-08-18,2019-08-23,2024.994,0.0,1
29,43661,708,2019-08-17,2019-08-19,20.1865,0.0,1
30,43662,764,2019-08-18,2019-08-20,419.4589,0.0,7
31,43662,770,2019-08-21,2019-08-23,419.4589,0.0,5
32,43662,730,2019-08-18,2019-08-21,183.9382,0.0,6
33,43662,754,2019-08-18,2019-08-19,874.794,0.0,2
34,43662,725,2019-08-17,2019-08-21,183.9382,0.0,2
35,43662,762,2019-08-21,2019-08-26,419.4589,0.0,9
36,43662,765,2019-08-19,2019-08-24,419.4589,0.0,7
37,43662,768,2019-08-22,2019-08-25,419.4589,0.0,6
38,43662,753,2019-08-22,2019-08-24,2146.962,0.0,6
39,43662,756,2019-08-21,2019-08-26,874.794,0.0,4
40,43662,763,2019-08-18,2019-08-18,419.4589,0.0,7
41,43662,732,2019-08-21,2019-08-26,356.898,0.0,7
42,43662,758,2019-08-19,2019-08-21,874.794,0.0,2
43,43662,729,2019-08-21,2019-08-24,183.9382,0.0,8
44,43662,722,2019-08-19,2019-08-24,178.5808,0.0,6
45,43662,749,2019-08-20,2019-08-25,2146.962,0.0,3
46,43662,760,2019-08-22,2019-08-23,419.4589,0.0,1
47,43662,726,2019-08-17,2019-08-17,183.9382,0.0,1
48,43662,733,2019-08-21,2019-08-23,356.898,0.0,2
49,43662,738,2019-08-22,2019-08-24,178.5808,0.0,5
50,43662,766,2019-08-22,2019-08-24,419.4589,0.0,5
51,43662,755,2019-08-19,2019-08-20,874.794,0.0,2
52,43663,760,2019-08-20,2019-08-21,419.4589,0.0,2
53,43664,772,2019-08-18,2019-08-20,2039.994,0.0,7
54,43664,775,2019-08-19,2019-08-23,2024.994,0.0,8
55,43664,714,2019-08-20,2019-08-20,28.8404,0.0,3
56,43664,716,2019-08-20,2019-08-22,28.8404,0.0,4
57,43664,777,2019-08-18,2019-08-18,2024.994,0.0,8
58,43664,771,2019-08-20,2019-08-22,2039.994,0.0,2
59,43664,773,2019-08-18,2019-08-22,2039.994,0.0,6
60,43664,778,2019-08-21,2019-08-24,2024.994,0.0,7
61,43665,711,2019-08-18,2019-08-22,20.1865,0.0,9
62,43665,773,2019-08-20,2019-08-20,2039.994,0.0,8
63,43665,707,2019-08-22,2019-08-23,20.1865,0.0,8
64,43665,715,2019-08-18,2019-08-19,28.8404,0.0,7
65,43665,777,2019-08-19,2019-08-24,2024.994,0.0,5
66,43665,712,2019-08-18,2019-08-19,5.1865,0.0,5
67,43665,775,2019-08-22,2019-08-22,2024.994,0.0,1
68,43665,778,2019-08-18,2019-08-22,2024.994,0.0,8
69,43665,709,2019-08-17,2019-08-22,5.7,0.0,8
